IRIS_CODE;POPULATION_ACTIVE;Elèv.Etud.Stag.non_rémunérés_15-64_ans;Retraités_ou_Pré__15-64_ans;Autres_inactifs_15-64_ans;CSP+;CSP-;Actifs_occ_15_ans_ou_plus_voiture;Actifs_occ_15_ans_ou_plus_TC;0-2_ans;3-5_ans;6-10_ans;11-17_ans;18-24_ans;25-39_ans;40-54_ans;55-64_ans;65-79_ans;80_ans_et_+;Enseignement_sup;Sans_diplôme_ou_CEP_ou_BEPC;CAP_BEP_BAC_PRO;Men_1_personne_;Men_Autres_sans_famille_;Men_fam_princ_Couple_sans_enfant_;Men_fam_princ_Couple_avec_enfants_;Men_fam_princ_Famille_mono_;Fam_Couple_avec_enfants_;Fam_Monoparentales_;Fam_Couple_sans_enfant_
751166114;0.8;0.76;0.07;0.17;0.8;0.2;0.17;0.62;0.02;0.03;0.05;0.04;0.14;0.29;0.21;0.09;0.09;0.04;0.67;0.15;0.18;0.6;0.05;0.47;0.34;0.2;0.34;0.2;0.47
784400104;0.74;0.4;0.13;0.47;0.46;0.54;0.59;0.37;0.09;0.07;0.1;0.08;0.06;0.24;0.14;0.08;0.09;0.03;0.25;0.32;0.42;0.29;0.01;0.25;0.59;0.16;0.59;0.16;0.26
751166209;0.74;0.59;0.07;0.34;0.77;0.23;0.3;0.38;0.03;0.04;0.06;0.1;0.06;0.15;0.2;0.1;0.17;0.09;0.64;0.13;0.24;0.42;0.04;0.43;0.43;0.14;0.42;0.13;0.44
930470112;0.74;0.36;0.18;0.46;0.55;0.45;0.6;0.27;0.04;0.03;0.07;0.11;0.08;0.18;0.21;0.12;0.1;0.06;0.27;0.29;0.43;0.22;0.02;0.32;0.58;0.1;0.57;0.12;0.32
920120207;0.83;0.61;0.13;0.26;0.79;0.21;0.24;0.49;0.04;0.04;0.05;0.06;0.08;0.24;0.2;0.11;0.12;0.06;0.65;0.14;0.22;0.4;0.02;0.42;0.41;0.17;0.41;0.18;0.41
915490108;0.74;0.44;0.19;0.37;0.38;0.62;0.58;0.3;0.04;0.05;0.08;0.1;0.09;0.2;0.17;0.14;0.09;0.04;0.18;0.39;0.43;0.34;0.02;0.2;0.52;0.28;0.51;0.28;0.21
912010104;0.81;0.64;0.22;0.15;0.75;0.25;0.51;0.37;0.03;0.04;0.05;0.08;0.07;0.15;0.23;0.1;0.16;0.08;0.5;0.18;0.32;0.33;0.01;0.43;0.44;0.13;0.44;0.13;0.43
751051701;0.78;0.74;0.05;0.2;0.86;0.14;0.05;0.64;0.02;0.02;0.04;0.05;0.14;0.29;0.17;0.11;0.13;0.04;0.75;0.1;0.16;0.61;0.03;0.52;0.29;0.19;0.29;0.19;0.52
773270102;0.72;0.35;0.12;0.53;0.23;0.77;0.62;0.24;0.06;0.07;0.11;0.11;0.09;0.2;0.17;0.08;0.07;0.03;0.11;0.44;0.45;0.27;0.03;0.19;0.48;0.33;0.48;0.33;0.19
930480803;0.79;0.34;0.12;0.53;0.36;0.64;0.29;0.57;0.06;0.06;0.07;0.08;0.09;0.21;0.19;0.11;0.06;0.07;0.24;0.43;0.33;0.36;0.04;0.25;0.51;0.24;0.5;0.26;0.24
781580108;0.7;0.62;0.08;0.31;0.83;0.17;0.55;0.32;0.02;0.03;0.08;0.15;0.07;0.12;0.21;0.13;0.15;0.04;0.77;0.07;0.15;0.28;0.01;0.41;0.48;0.11;0.47;0.11;0.42
940370103;0.75;0.49;0.19;0.32;0.5;0.5;0.24;0.58;0.03;0.03;0.05;0.1;0.11;0.18;0.21;0.15;0.1;0.02;0.31;0.31;0.39;0.42;0.03;0.29;0.38;0.33;0.37;0.35;0.29
770140101;0.72;0.41;0.18;0.41;0.37;0.63;0.44;0.48;0.05;0.05;0.1;0.1;0.11;0.22;0.16;0.12;0.07;0.03;0.2;0.43;0.37;0.39;0.04;0.29;0.45;0.26;0.45;0.26;0.29
912000102;0.78;0.42;0.34;0.24;0.48;0.52;0.62;0.21;0.03;0.03;0.07;0.09;0.08;0.15;0.2;0.12;0.16;0.07;0.26;0.32;0.41;0.45;0.01;0.35;0.47;0.18;0.47;0.19;0.35
930130102;0.79;0.4;0.13;0.47;0.42;0.58;0.35;0.52;0.05;0.05;0.08;0.08;0.09;0.22;0.2;0.1;0.1;0.03;0.23;0.39;0.37;0.36;0.04;0.26;0.53;0.21;0.52;0.22;0.26
952520108;0.84;0.43;0.24;0.33;0.56;0.44;0.6;0.34;0.07;0.05;0.06;0.06;0.06;0.29;0.18;0.09;0.1;0.04;0.35;0.22;0.42;0.39;0.03;0.34;0.5;0.16;0.5;0.16;0.34
930490105;0.76;0.52;0.04;0.45;0.28;0.72;0.4;0.43;0.06;0.07;0.11;0.11;0.09;0.17;0.18;0.1;0.11;0.01;0.19;0.4;0.41;0.25;0.01;0.15;0.49;0.36;0.48;0.36;0.16
920750111;0.78;0.46;0.19;0.35;0.64;0.36;0.18;0.53;0.03;0.03;0.07;0.09;0.09;0.17;0.19;0.13;0.13;0.06;0.3;0.33;0.37;0.49;0.03;0.27;0.38;0.35;0.38;0.35;0.27
930490101;0.8;0.55;0.3;0.14;0.68;0.32;0.59;0.33;0.03;0.05;0.08;0.1;0.07;0.19;0.23;0.12;0.09;0.04;0.39;0.2;0.41;0.26;0.04;0.3;0.52;0.18;0.53;0.17;0.3
930060116;0.79;0.31;0.14;0.55;0.56;0.44;0.35;0.46;0.05;0.05;0.07;0.08;0.07;0.23;0.22;0.1;0.09;0.04;0.28;0.42;0.3;0.37;0.03;0.3;0.55;0.15;0.54;0.17;0.29
751176514;0.83;0.61;0.08;0.31;0.81;0.19;0.2;0.54;0.03;0.03;0.03;0.04;0.1;0.28;0.16;0.12;0.14;0.08;0.7;0.12;0.18;0.54;0.02;0.48;0.36;0.17;0.36;0.17;0.48
920320111;0.73;0.7;0.18;0.12;0.67;0.33;0.45;0.44;0.04;0.03;0.04;0.09;0.12;0.21;0.2;0.13;0.09;0.06;0.55;0.18;0.27;0.45;0.02;0.31;0.47;0.22;0.47;0.22;0.31
783580102;0.82;0.6;0.23;0.17;0.91;0.09;0.32;0.6;0.04;0.03;0.08;0.1;0.05;0.2;0.22;0.1;0.1;0.07;0.69;0.09;0.22;0.35;0.01;0.39;0.53;0.08;0.52;0.09;0.39
952180106;0.78;0.38;0.21;0.41;0.49;0.51;0.45;0.41;0.06;0.06;0.09;0.1;0.08;0.24;0.18;0.11;0.08;0.01;0.37;0.22;0.4;0.29;0.02;0.25;0.47;0.28;0.46;0.29;0.25
783830102;0.83;0.55;0.29;0.16;0.73;0.27;0.73;0.17;0.05;0.05;0.06;0.09;0.05;0.2;0.23;0.11;0.14;0.03;0.55;0.1;0.34;0.32;0.02;0.37;0.55;0.08;0.55;0.08;0.37
952190701;0.78;0.28;0.23;0.49;0.6;0.4;0.44;0.45;0.05;0.04;0.05;0.04;0.06;0.22;0.18;0.1;0.13;0.11;0.33;0.32;0.35;0.52;0.01;0.36;0.43;0.21;0.42;0.21;0.37
930630109;0.76;0.32;0.11;0.57;0.55;0.45;0.44;0.36;0.04;0.04;0.06;0.08;0.09;0.19;0.27;0.11;0.1;0.03;0.29;0.37;0.34;0.27;0.03;0.2;0.49;0.31;0.48;0.32;0.2
751197508;0.81;0.59;0.22;0.19;0.81;0.19;0.09;0.72;0.03;0.03;0.04;0.07;0.08;0.23;0.2;0.14;0.14;0.05;0.68;0.12;0.2;0.53;0.03;0.47;0.39;0.14;0.38;0.14;0.48
772940201;0.75;0.41;0.22;0.37;0.5;0.5;0.59;0.35;0.04;0.05;0.06;0.08;0.09;0.17;0.21;0.14;0.12;0.04;0.22;0.31;0.47;0.27;0.01;0.33;0.54;0.13;0.53;0.13;0.35
784180102;0.76;0.58;0.2;0.22;0.68;0.32;0.58;0.28;0.04;0.02;0.06;0.1;0.09;0.15;0.24;0.14;0.13;0.03;0.43;0.22;0.35;0.25;0.01;0.41;0.44;0.15;0.44;0.15;0.41
930530111;0.75;0.42;0.12;0.46;0.44;0.56;0.26;0.58;0.06;0.06;0.06;0.08;0.09;0.22;0.2;0.1;0.08;0.05;0.31;0.34;0.35;0.35;0.01;0.31;0.45;0.23;0.46;0.24;0.31
751207810;0.78;0.5;0.13;0.37;0.6;0.4;0.08;0.8;0.02;0.02;0.05;0.07;0.15;0.27;0.21;0.12;0.09;0.02;0.42;0.33;0.25;0.54;0.06;0.29;0.43;0.28;0.42;0.29;0.28
920250208;0.8;0.52;0.12;0.35;0.53;0.47;0.35;0.51;0.06;0.06;0.07;0.08;0.08;0.24;0.18;0.08;0.06;0.07;0.32;0.32;0.36;0.26;0.03;0.24;0.56;0.21;0.55;0.21;0.24
